county,avg_asthma_prevalence
Alameda,8.466666666666667
Alpine,9.933333333333334
Amador,9.933333333333334
Butte,11.233333333333334
Calaveras,9.933333333333334
Colusa,10.200000000000001
Contra Costa,10.866666666666667
Del Norte,9.466666666666667
El Dorado,9.200000000000001
Fresno,12.466666666666669
Glenn,10.200000000000001
Humboldt,11.466666666666667
Imperial,11.366666666666667
Inyo,9.933333333333334
Kern,11.866666666666667
Kings,12.966666666666669
Lake,12.866666666666667
Lassen,9.466666666666667
Los Angeles,8.133333333333333
Madera,11.933333333333332
Marin,7.966666666666666
Mariposa,9.933333333333334
Mendocino,8.133333333333335
Merced,11.6
Modoc,9.466666666666667
Mono,9.933333333333334
Monterey,7.466666666666668
Napa,13.95
Nevada,7.2
Orange,6.766666666666667
Placer,8.766666666666667
Plumas,9.466666666666667
Riverside,8.866666666666665
Sacramento,10.299999999999999
San Benito,8.1
San Bernardino,8.966666666666667
San Diego,7.6000000000000005
San Francisco,7.533333333333334
San Joaquin,9.766666666666666
San Luis Obispo,5.666666666666667
San Mateo,10.633333333333333
Santa Barbara,5.25
Santa Clara,7.666666666666667
Santa Cruz,9.0
Shasta,9.533333333333333
Sierra,9.466666666666667
Siskiyou,9.466666666666667
Solano,13.533333333333333
Sonoma,10.700000000000001
Stanislaus,10.799999999999999
Sutter,11.033333333333333
Tehama,10.200000000000001
Trinity,9.466666666666667
Tulare,11.200000000000001
Tuolumne,9.933333333333334
Ventura,6.766666666666667
Yolo,11.133333333333333
Yuba,13.333333333333334
