county,avg_population
Alameda,1662307.75
Alpine,1094.0
Amador,38778.75
Butte,226113.0
Calaveras,45651.5
Colusa,21510.0
Contra Costa,1146712.0
Del Norte,27571.25
El Dorado,189561.0
Fresno,988279.75
Glenn,28031.5
Humboldt,136149.75
Imperial,181141.5
Inyo,17943.75
Kern,890543.0
Kings,150842.25
Lake,64179.25
Lassen,30708.0
Los Angeles,10080608.0
Madera,155897.0
Marin,259699.75
Mariposa,17369.5
Mendocino,87252.75
Merced,272638.75
Modoc,8869.5
Mono,14368.5
Monterey,434124.5
Napa,139312.75
Nevada,99385.75
Orange,3172735.0
Placer,388679.25
Plumas,18718.25
Riverside,2427845.0
Sacramento,1532273.0
San Benito,60916.0
San Bernardino,2157435.75
San Diego,3324879.25
San Francisco,877949.25
San Joaquin,747686.0
San Luis Obispo,282687.25
San Mateo,768015.25
Santa Barbara,445479.25
Santa Clara,1930266.75
Santa Cruz,274076.5
Shasta,179436.0
Sierra,2988.75
Siskiyou,43521.75
Solano,443934.25
Sonoma,499498.75
Stanislaus,545689.5
Sutter,96316.25
Tehama,64100.5
Trinity,12601.5
Tulare,463081.75
Tuolumne,54152.75
Ventura,847628.75
Yolo,218680.5
Yuba,76938.75
