county,avg_number_ed_visits
Alameda,8642.0
Alpine,0.0
Amador,173.0
Butte,882.0
Calaveras,187.8
Colusa,89.4
Contra Costa,6299.2
Del Norte,142.2
El Dorado,581.8
Fresno,7235.2
Glenn,114.6
Humboldt,760.6
Imperial,1262.2
Inyo,92.4
Kern,4860.8
Kings,987.4
Lake,492.2
Lassen,122.2
Los Angeles,49208.4
Madera,912.0
Marin,554.2
Mariposa,67.8
Mendocino,498.6
Merced,2020.4
Modoc,68.4
Mono,46.4
Monterey,1863.6
Napa,511.2
Nevada,272.2
Orange,8948.2
Placer,1095.6
Plumas,92.8
Riverside,9595.0
Sacramento,9571.6
San Benito,310.4
San Bernardino,11309.0
San Diego,10272.4
San Francisco,2983.4
San Joaquin,4569.0
San Luis Obispo,826.6
San Mateo,2292.2
Santa Barbara,1457.4
Santa Clara,5534.0
Santa Cruz,813.6
Shasta,740.6
Sierra,9.0
Siskiyou,149.8
Solano,3392.0
Sonoma,1763.0
Stanislaus,2983.4
Sutter,305.4
Tehama,314.0
Trinity,56.4
Tulare,2050.4
Tuolumne,226.2
Ventura,2654.0
Yolo,814.0
Yuba,334.0
