countyfips,DS_PM_pred,DS_PM_stdd
6001,0.2988061027431835,-0.32754095950774703
6101,0.5968363748636217,0.4179492208942337
6103,-0.2175524242674811,-0.16720388896159893
6105,-1.2321933164874115,-0.4872935120219258
6107,2.8926171932229137,3.579570218415925
6109,0.09618318809462156,0.4972191290944203
6011,-0.1543508172769075,-0.11984882347651228
6111,-0.42396403777884,-0.7818145459603058
6113,0.4620423547918562,0.49423648232535483
6115,0.5331401998916867,0.3524254388838121
6013,0.5142490803604388,0.04919718833908732
6015,-1.0472928520869376,-0.015968595574108253
6017,-0.7696001956800997,-0.8730839636494448
6019,2.251171957093733,1.8424774221824962
6021,0.18617174788656365,0.44995808421728795
6023,-1.1355891837708092,-0.1958712759031757
6025,-0.017863066945990404,0.1887541660298016
6027,-1.33634218038909,-1.3927154736948757
6029,1.4651221477792784,1.5408403052237583
6003,-1.3619407766678353,-1.2087172025985986
6031,2.4958679487000532,2.474864629496431
6033,-0.7696317988212754,-0.7389239000652915
6035,-0.9048066709433898,-0.09678821590593052
6037,0.9779522124505341,0.6465506343905807
6039,1.5870377865500473,1.4114105162459893
6041,-0.29090040212311025,-0.6812997546763405
6043,0.29494491214845914,0.7430192336911293
6045,-0.8383205545148776,-0.7517563567474538
6047,1.3973911281294498,1.2902084459924528
6049,-1.1935557705805788,-0.15767284616347596
6005,-0.2908356184554729,-0.2589348412430552
6051,-0.22632249731762166,-0.1816869264316679
6053,-1.482751810785234,-1.8083356741573706
6055,-0.16688790322585084,-0.47540315125890337
6057,-0.7521739750023184,-0.9645116234866482
6059,1.0443304900344441,0.8954071667976128
6061,-0.04735015291549169,-0.33203832192682897
6063,-0.4386660488173236,-0.17271736196194043
6065,0.34060792582329413,0.20013162800604067
6067,0.7408307930450557,0.4548185293655972
6069,-1.2599874413578638,-1.6891700700184966
6007,0.5252436891243338,0.587069828420585
6071,0.6268708975517205,0.37943250370395015
6073,0.16889287338357015,0.33831021587386656
6075,0.023807041678884967,-0.5038861109742873
6077,1.2661819672158032,1.0367804283218944
6079,-1.1155765092276257,-1.3697079433151524
6081,-0.2423290112316676,-0.5668828054218341
6083,-0.8823489478197183,-1.2040993014454175
6085,-0.19097455607097297,-0.6888066223329001
6087,-1.030579624788947,-1.4937162195455673
6089,-0.4024665689078937,0.2276601662122218
6009,0.0017215246100574328,0.09596521226024703
6091,-1.0385006368359444,-0.9343744522667753
6093,-0.6701860291385758,-0.06642700216443236
6095,0.2487329453626134,0.023855259232062657
6097,-0.6275307360567521,-0.7336489520952268
6099,1.5226176337536514,1.2227346413364633
